row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
2586,2586,0000101000011010,0.69507291,0.01072635,5,0.59496565
2587,2587,0000101000011011,0.76850521,0.04111153,6,0.64809409
2588,2588,0000101000011100,0.63866667,0.04708461,5,0.53819582
2589,2589,0000101000011101,0.71193750,0.04122851,6,0.59152521
2590,2590,0000101000011110,0.76327604,0.01239094,6,0.64315213
2591,2591,0000101000011111,0.81399479,0.45833544,7,0.66941144
2592,2592,0000101000100000,0.30673958,0.00814932,3,0.24665809
2593,2593,0000101000100001,0.43954687,0.11782886,4,0.35836859
2594,2594,0000101000100010,0.50697396,0.03990633,4,0.42657490
2595,2595,0000101000100011,0.62492708,0.00946485,5,0.52483243
2596,2596,0000101000100100,0.41021875,0.00816237,4,0.33013713
2597,2597,0000101000100101,0.53079166,0.01097098,5,0.43068195
2598,2598,0000101000100110,0.58658333,0.01724559,5,0.48641088
2599,2599,0000101000100111,0.68273958,0.01123186,6,0.56262727
2600,2600,0000101000101000,0.49965625,0.00872992,4,0.41956895
2601,2601,0000101000101001,0.61244271,0.04091817,5,0.51203353
2602,2602,0000101000101010,0.65956771,0.03922509,5,0.55917546
2603,2603,0000101000101011,0.74292188,0.03881081,6,0.62253378
2604,2604,0000101000101100,0.57405208,0.15283849,5,0.47252370
2605,2605,0000101000101101,0.67154688,0.01164979,6,0.55143038
2606,2606,0000101000101110,0.71441146,0.02036382,6,0.59420782
2607,2607,0000101000101111,0.78128646,0.03694200,7,0.64091704
2608,2608,0000101000110000,0.48084896,0.01645175,4,0.40068444
2609,2609,0000101000110001,0.58239583,0.12961286,5,0.48109971
2610,2610,0000101000110010,0.65104167,0.01072713,5,0.55093440
2611,2611,0000101000110011,0.72936459,0.02137435,6,0.60915084
2612,2612,0000101000110100,0.56480729,0.01060851,5,0.46470121
2613,2613,0000101000110101,0.64917708,0.01145725,6,0.52906251
2614,2614,0000101000110110,0.71521355,0.01128731,6,0.59510067
2615,2615,0000101000110111,0.77626042,0.04248928,7,0.63583553
2616,2616,0000101000111000,0.63600521,0.03964718,5,0.53560874
2617,2617,0000101000111001,0.72131771,0.03924920,6,0.60092522
2618,2618,0000101000111010,0.76245313,0.12463671,6,0.64120676
2619,2619,0000101000111011,0.81959895,0.07011224,7,0.67889783
2620,2620,0000101000111100,0.69655208,0.03794255,6,0.57617266
2621,2621,0000101000111101,0.76221875,0.04238810,7,0.62179487
2622,2622,0000101000111110,0.80196354,0.13055452,7,0.66065800
2623,2623,0000101000111111,0.84866667,0.49384455,8,0.68372822
2624,2624,0000101001000000,0.29550000,0.01221997,3,0.23537780
2625,2625,0000101001000001,0.44365104,0.12471601,4,0.36240388
2626,2626,0000101001000010,0.51703125,0.00916344,4,0.43693961
2627,2627,0000101001000011,0.63269270,0.03598977,5,0.53233281
2628,2628,0000101001000100,0.42279688,0.00942137,4,0.34270266
2629,2629,0000101001000101,0.55186458,0.03589013,5,0.45150568
2630,2630,0000101001000110,0.62469792,0.01359991,5,0.52456192
2631,2631,0000101001000111,0.71769270,0.01247484,6,0.59756796
2632,2632,0000101001001000,0.50225000,0.00956476,4,0.42215435
2633,2633,0000101001001001,0.62360938,0.01089954,5,0.52350038
2634,2634,0000101001001010,0.67381250,0.01755166,5,0.57363698
2635,2635,0000101001001011,0.75365626,0.07576612,6,0.63289860
2636,2636,0000101001001100,0.60222396,0.01023515,5,0.50212161
2637,2637,0000101001001101,0.70102604,0.04104204,6,0.58061562
