row,decimal,fitness,bitstring
1291,1290,4.00000000,0000010100001010
1293,1292,4.00000000,0000010100001100
1298,1297,4.00000000,0000010100010001
1299,1298,4.00000000,0000010100010010
1301,1300,4.00000000,0000010100010100
1305,1304,4.00000000,0000010100011000
1314,1313,4.00000000,0000010100100001
1315,1314,4.00000000,0000010100100010
1317,1316,4.00000000,0000010100100100
1321,1320,4.00000000,0000010100101000
1329,1328,4.00000000,0000010100110000
1346,1345,4.00000000,0000010101000001
1347,1346,4.00000000,0000010101000010
1349,1348,4.00000000,0000010101000100
1353,1352,4.00000000,0000010101001000
1361,1360,4.00000000,0000010101010000
1377,1376,4.00000000,0000010101100000
1410,1409,4.00000000,0000010110000001
1411,1410,4.00000000,0000010110000010
1413,1412,4.00000000,0000010110000100
1417,1416,4.00000000,0000010110001000
1425,1424,4.00000000,0000010110010000
1441,1440,4.00000000,0000010110100000
1473,1472,4.00000000,0000010111000000
1540,1539,4.00000000,0000011000000011
1542,1541,4.00000000,0000011000000101
1543,1542,4.00000000,0000011000000110
1546,1545,4.00000000,0000011000001001
1547,1546,4.00000000,0000011000001010
1549,1548,4.00000000,0000011000001100
1554,1553,4.00000000,0000011000010001
1555,1554,4.00000000,0000011000010010
1557,1556,4.00000000,0000011000010100
1561,1560,4.00000000,0000011000011000
1570,1569,4.00000000,0000011000100001
1571,1570,4.00000000,0000011000100010
1573,1572,4.00000000,0000011000100100
1577,1576,4.00000000,0000011000101000
1585,1584,4.00000000,0000011000110000
1602,1601,4.00000000,0000011001000001
1603,1602,4.00000000,0000011001000010
1605,1604,4.00000000,0000011001000100
1609,1608,4.00000000,0000011001001000
1617,1616,4.00000000,0000011001010000
1633,1632,4.00000000,0000011001100000
1666,1665,4.00000000,0000011010000001
1667,1666,4.00000000,0000011010000010
1669,1668,4.00000000,0000011010000100
1673,1672,4.00000000,0000011010001000
1681,1680,4.00000000,0000011010010000
1697,1696,4.00000000,0000011010100000
1729,1728,4.00000000,0000011011000000
1794,1793,4.00000000,0000011100000001
1795,1794,4.00000000,0000011100000010
1797,1796,4.00000000,0000011100000100
1801,1800,4.00000000,0000011100001000
1809,1808,4.00000000,0000011100010000
1825,1824,4.00000000,0000011100100000
1857,1856,4.00000000,0000011101000000
