row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
32458,32458,111111011001010,0.86288266,0.48160933,10,0.65806657
32459,32459,111111011001011,0.86878189,0.68973395,11,0.64188455
32460,32460,111111011001100,0.85411353,0.43543688,10,0.64975916
32461,32461,111111011001101,0.85618623,0.46877036,11,0.63149853
32462,32462,111111011001110,0.86463648,0.45485920,11,0.64008789
32463,32463,111111011001111,0.86479592,0.46447730,12,0.62015115
32464,32464,111111011010000,0.86304210,0.61405825,9,0.67690152
32465,32465,111111011010001,0.86830357,0.50824552,10,0.66322112
32466,32466,111111011010010,0.86352041,0.48659399,10,0.65865447
32467,32467,111111011010011,0.86431761,0.52069783,11,0.63911063
32468,32468,111111011010100,0.86001276,0.62864763,10,0.65372629
32469,32469,111111011010101,0.86654975,0.50249940,11,0.64152475
32470,32470,111111011010110,0.86607143,0.47295445,11,0.64134189
32471,32471,111111011010111,0.87197066,0.49429076,12,0.62702776
32472,32472,111111011011000,0.86065052,0.50446897,10,0.65560583
32473,32473,111111011011001,0.85809950,0.62958320,11,0.63180366
32474,32474,111111011011010,0.86670919,0.47011178,11,0.64200807
32475,32475,111111011011011,0.86989796,0.49725560,12,0.62492541
32476,32476,111111011011100,0.86367985,0.50001579,11,0.63867969
32477,32477,111111011011101,0.86415817,0.59145990,12,0.61824357
32478,32478,111111011011110,0.85730230,0.45233114,12,0.61277899
32479,32479,111111011011111,0.87021684,0.59867228,13,0.60423012
32480,32480,111111011100000,0.86017220,0.43615916,9,0.67581061
32481,32481,111111011100001,0.86065052,0.66351763,10,0.65401534
32482,32482,111111011100010,0.86957908,0.46722552,10,0.66490683
32483,32483,111111011100011,0.86686862,0.48978278,11,0.64197080
32484,32484,111111011100100,0.86543368,0.38937537,10,0.66153992
32485,32485,111111011100101,0.86862245,0.62129492,11,0.64240950
32486,32486,111111011100110,0.87117347,0.46680450,11,0.64650543
32487,32487,111111011100111,0.86686863,0.48140331,12,0.62205459
32488,32488,111111011101000,0.85825894,0.40553708,10,0.65420357
32489,32489,111111011101001,0.87005740,0.44880246,11,0.64556938
32490,32490,111111011101010,0.86320153,0.58345601,11,0.63736697
32491,32491,111111011101011,0.87101403,0.48261696,12,0.62618786
32492,32492,111111011101100,0.85762118,0.39566671,11,0.63366451
32493,32493,111111011101101,0.86399873,0.41904022,12,0.61980833
32494,32494,111111011101110,0.87165179,0.55210486,12,0.62613074
32495,32495,111111011101111,0.86814414,0.56239057,13,0.60252023
32496,32496,111111011110000,0.85554848,0.42921254,10,0.65125635
32497,32497,111111011110001,0.86559312,0.45507848,11,0.64104233
32498,32498,111111011110010,0.85937501,0.66144024,11,0.63276061
32499,32499,111111011110011,0.87085459,0.49779464,12,0.62587665
32500,32500,111111011110100,0.86208547,0.41131783,11,0.63797229
32501,32501,111111011110101,0.86798470,0.45578213,12,0.62342688
32502,32502,111111011110110,0.85809950,0.61418664,12,0.61195763
32503,32503,111111011110111,0.87069516,0.63492880,13,0.60434587
32504,32504,111111011111000,0.85921557,0.41915476,11,0.63502402
32505,32505,111111011111001,0.86591199,0.45432109,12,0.62136878
32506,32506,111111011111010,0.86176659,0.64144159,12,0.61535217
32507,32507,111111011111011,0.86702807,0.62147434,13,0.60081332
32508,32508,111111011111100,0.86383929,0.38762260,12,0.61996307
32509,32509,111111011111101,0.86750638,0.53763244,13,0.60213005
32510,32510,111111011111110,0.86320154,0.54213184,13,0.59778022
32511,32511,111111011111111,0.86607143,0.73504680,14,0.57872096
32512,32512,111111100000000,0.65306122,0.52681236,7,0.50779309
32513,32513,111111100000001,0.70216838,0.56758631,8,0.53649251
32514,32514,111111100000010,0.67219387,0.62591285,8,0.50593474
32515,32515,111111100000011,0.72177935,0.79299170,9,0.53384943
32516,32516,111111100000100,0.67346938,0.48762085,8,0.50859317
32517,32517,111111100000101,0.70360332,0.54038464,9,0.51819947
32518,32518,111111100000110,0.67474489,0.74072891,9,0.48733760
32519,32519,111111100000111,0.73262118,0.59201759,10,0.52670100
32520,32520,111111100001000,0.64987244,0.48375799,8,0.48503486
32521,32521,111111100001001,0.71014031,0.71553899,9,0.52298492
32522,32522,111111100001010,0.67968750,0.58027186,9,0.49388478
32523,32523,111111100001011,0.71460460,0.56646220,10,0.50893998
32524,32524,111111100001100,0.65114795,0.46520912,9,0.46649586
32525,32525,111111100001101,0.69802296,0.69550617,10,0.49106790
32526,32526,111111100001110,0.66151148,0.53875535,10,0.45612392
32527,32527,111111100001111,0.71635842,0.57350714,11,0.49062335
32528,32528,111111100010000,0.75829081,0.51044214,8,0.59318639
32529,32529,111111100010001,0.77551020,0.59931311,9,0.58951707
32530,32530,111111100010010,0.76371173,0.79131766,9,0.57579856
32531,32531,111111100010011,0.78427933,0.61436237,10,0.57813570
32532,32532,111111100010100,0.75478316,0.47786877,9,0.57000448
32533,32533,111111100010101,0.77997448,0.67491966,10,0.57322529
32534,32534,111111100010110,0.75781250,0.55780195,10,0.55223448
32535,32535,111111100010111,0.77598851,0.56564750,11,0.55033204
32536,32536,111111100011000,0.75542092,0.46797334,9,0.57074118
32537,32537,111111100011001,0.77535076,0.68444797,10,0.56850628
32538,32538,111111100011010,0.75143495,0.55605504,10,0.54587440
32539,32539,111111100011011,0.78587371,0.57237383,11,0.56014998
32540,32540,111111100011100,0.76052295,0.44577207,10,0.55606523
32541,32541,111111100011101,0.77391581,0.56466892,11,0.54826912
32542,32542,111111100011110,0.76482780,0.70397073,11,0.53778809
32543,32543,111111100011111,0.78268494,0.52210562,12,0.53746388
32544,32544,111111100100000,0.74665179,0.46856884,8,0.58196610
32545,32545,111111100100001,0.78252550,0.66260700,9,0.59589943
