row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
53150,53150,1100111110011110,0.91630729,0.14858501,11,0.68144879
53151,53151,1100111110011111,0.93181249,0.13807819,12,0.67800467
53152,53152,1100111110100000,0.77217708,0.02980458,8,0.60919663
53153,53153,1100111110100001,0.83081771,0.05536937,9,0.64528077
53154,53154,1100111110100010,0.86021354,0.13877504,9,0.66633604
53155,53155,1100111110100011,0.88984896,0.01615693,10,0.68823326
53156,53156,1100111110100100,0.81117188,0.03717772,9,0.62745411
53157,53157,1100111110100101,0.85661979,0.04181682,10,0.65243811
53158,53158,1100111110100110,0.88147396,0.12587552,10,0.66888640
53159,53159,1100111110100111,0.90623959,0.04373452,11,0.68186613
53160,53160,1100111110101000,0.83406250,0.14050581,9,0.64001192
53161,53161,1100111110101001,0.87453125,0.04098529,10,0.67043272
53162,53162,1100111110101010,0.89294791,0.04557070,10,0.68839084
53163,53163,1100111110101011,0.91459896,0.14287213,11,0.68031175
53164,53164,1100111110101100,0.85800000,0.04186278,10,0.65381373
53165,53165,1100111110101101,0.89058854,0.25159973,11,0.64542857
53166,53166,1100111110101110,0.90710938,0.06508964,11,0.68060042
53167,53167,1100111110101111,0.92509896,0.13504713,12,0.67159424
53168,53168,1100111110110000,0.82836979,0.02883292,9,0.64548650
53169,53169,1100111110110001,0.86924480,0.03828429,10,0.66541637
53170,53170,1100111110110010,0.89506250,0.14379624,10,0.68068287
53171,53171,1100111110110011,0.91432292,0.04948792,11,0.68937412
53172,53172,1100111110110100,0.85709374,0.04525566,10,0.65256818
53173,53173,1100111110110101,0.88802604,0.15267161,11,0.65275888
53174,53174,1100111110110110,0.90935938,0.06561400,11,0.68279798
53175,53175,1100111110110111,0.92585417,0.14324755,12,0.67152941
53176,53176,1100111110111000,0.87260938,0.05716295,10,0.66689308
53177,53177,1100111110111001,0.89915625,0.04863110,11,0.67429314
53178,53178,1100111110111010,0.91777604,0.01536047,11,0.69624000
53179,53179,1100111110111011,0.93379167,0.04270152,12,0.68952152
53180,53180,1100111110111100,0.88955729,0.14007940,11,0.65554935
53181,53181,1100111110111101,0.91293750,0.04557140,12,0.66838036
53182,53182,1100111110111110,0.92742187,0.05060217,12,0.68236165
53183,53183,1100111110111111,0.94018229,0.04854331,13,0.67532796
53184,53184,1100111111000000,0.78983854,0.05466118,8,0.62437242
53185,53185,1100111111000001,0.84195312,0.04311812,9,0.65764131
53186,53186,1100111111000010,0.86816666,0.15083722,9,0.67308294
53187,53187,1100111111000011,0.89712500,0.04195305,10,0.69292969
53188,53188,1100111111000100,0.82715625,0.12996983,9,0.63415927
53189,53189,1100111111000101,0.86900521,0.03955171,10,0.66505004
53190,53190,1100111111000110,0.89106770,0.04147800,10,0.68691990
53191,53191,1100111111000111,0.91353646,0.12996859,11,0.68053960
53192,53192,1100111111001000,0.84329166,0.02805093,9,0.66048657
53193,53193,1100111111001001,0.87884375,0.04302727,10,0.67454102
53194,53194,1100111111001010,0.89779167,0.15296705,10,0.68249496
53195,53195,1100111111001011,0.91848958,0.01658690,11,0.69683089
53196,53196,1100111111001100,0.86805729,0.07204031,10,0.66085326
53197,53197,1100111111001101,0.89742709,0.04338043,11,0.67308904
53198,53198,1100111111001110,0.91278125,0.13530088,11,0.67925116
53199,53199,1100111111001111,0.92805729,0.04469947,12,0.68358735
53200,53200,1100111111010000,0.83947917,0.14137338,9,0.64534184
53201,53201,1100111111010001,0.87823438,0.03365190,10,0.67486919
53202,53202,1100111111010010,0.90149479,0.04149657,10,0.69734514
53203,53203,1100111111010011,0.91944791,0.16520825,11,0.68292709
53204,53204,1100111111010100,0.86935938,0.06305835,10,0.66305354
53205,53205,1100111111010101,0.89826562,0.12409847,11,0.66585578
53206,53206,1100111111010110,0.91765105,0.01681192,11,0.69596985
53207,53207,1100111111010111,0.93141146,0.04266558,12,0.68714490
53208,53208,1100111111011000,0.87707813,0.05420111,10,0.67165801
53209,53209,1100111111011001,0.90418229,0.02310068,11,0.68187222
53210,53210,1100111111011010,0.92012500,0.04096914,11,0.69602809
53211,53211,1100111111011011,0.93441146,0.05384778,12,0.68902668
53212,53212,1100111111011100,0.89768750,0.13636128,11,0.66405137
53213,53213,1100111111011101,0.91977083,0.04640500,12,0.67513033
53214,53214,1100111111011110,0.93207812,0.14345669,12,0.67773246
53215,53215,1100111111011111,0.94252084,0.05596667,13,0.67692417
53216,53216,1100111111100000,0.82898959,0.13623251,9,0.63536634
53217,53217,1100111111100001,0.87336459,0.04504058,10,0.66886053
53218,53218,1100111111100010,0.89167708,0.13946298,10,0.67773078
53219,53219,1100111111100011,0.91440104,0.05472366,11,0.68892868
53220,53220,1100111111100100,0.85504687,0.04668363,10,0.65037851
53221,53221,1100111111100101,0.89269792,0.02113819,11,0.67058410
53222,53222,1100111111100110,0.90588021,0.04201794,11,0.68167842
53223,53223,1100111111100111,0.92578125,0.14224814,12,0.67155644
53224,53224,1100111111101000,0.86827083,0.04432131,10,0.66383870
53225,53225,1100111111101001,0.90026562,0.03780689,11,0.67648494
53226,53226,1100111111101010,0.91393750,0.13490784,11,0.68044671
53227,53227,1100111111101011,0.92885417,0.04691190,12,0.68416298
53228,53228,1100111111101100,0.88531250,0.04470138,11,0.66084236
53229,53229,1100111111101101,0.91198438,0.17192412,12,0.65479196
53230,53230,1100111111101110,0.92250521,0.04388844,12,0.67811637
53231,53231,1100111111101111,0.93775000,0.04641245,13,0.67310875
53232,53232,1100111111110000,0.87079166,0.14919474,10,0.65587219
53233,53233,1100111111110001,0.90181771,0.04246705,11,0.67757100
53234,53234,1100111111110010,0.91714063,0.22326214,11,0.67481441
53235,53235,1100111111110011,0.93224479,0.07094561,12,0.68515023
53236,53236,1100111111110100,0.88919792,0.14208601,11,0.65498932
53237,53237,1100111111110101,0.91340104,0.04368755,12,0.66903229
53238,53238,1100111111110110,0.92763542,0.04779928,12,0.68285549
53239,53239,1100111111110111,0.94004166,0.04631502,13,0.67541016
53240,53240,1100111111111000,0.89703125,0.05802031,11,0.67122922
53241,53241,1100111111111001,0.91857813,0.13457297,12,0.66512083
53242,53242,1100111111111010,0.93198438,0.04046322,12,0.68793806
53243,53243,1100111111111011,0.94326041,0.17323536,13,0.66593687
53244,53244,1100111111111100,0.91135937,0.04336200,12,0.66702317
53245,53245,1100111111111101,0.93033854,0.04903749,13,0.66543479
53246,53246,1100111111111110,0.93979688,0.15389792,13,0.66440709
53247,53247,1100111111111111,0.95015104,0.63139980,14,0.60701106
53248,53248,1101000000000000,0.09308854,0.16689233,3,0.01639931
