row,decimal,fitness,bitstring
101250,101250,0.72680581,0011000101110000010
102531,102531,0.77401422,0011001000010000011
103179,103179,0.71965591,0011001001100001011
103785,103785,0.70614836,0011001010101101001
104452,104452,0.77465834,0011001100000000100
104630,104630,0.69954274,0011001100010110110
104900,104900,0.72304561,0011001100111000100
105538,105538,0.72968435,0011001110001000010
106250,106250,0.68395444,0011001111100001010
106288,106288,0.67221123,0011001111100110000
106425,106425,0.64869435,0011001111110111001
107066,107066,0.70655114,0011010001000111010
108523,108523,0.63064721,0011010011111101011
110109,110109,0.67453323,0011010111000011101
110636,110636,0.75066144,0011011000000101100
110794,110794,0.73942884,0011011000011001010
110905,110905,0.69984245,0011011000100111001
111302,111302,0.71930053,0011011001011000110
112898,112898,0.74278279,0011011100100000010
113176,113176,0.69233266,0011011101000011000
113189,113189,0.69464084,0011011101000100101
114180,114180,0.72915556,0011011111000000100
115637,115637,0.66413563,0011100001110110101
116596,116596,0.63539468,0011100011101110100
117032,117032,0.71374916,0011100100100101000
118230,118230,0.64545954,0011100110111010110
118871,118871,0.71032526,0011101000001010111
119206,119206,0.70378339,0011101000110100110
120139,120139,0.68726048,0011101010101001011
120576,120576,0.68581172,0011101011100000000
121903,121903,0.67060112,0011101110000101111
122430,122430,0.64356109,0011101111000111110
124435,124435,0.70645415,0011110011000010011
125110,125110,0.65919148,0011110100010110110
127569,127569,0.68519098,0011111001001010001
127993,127993,0.62343546,0011111001111111001
128118,128118,0.64469552,0011111010001110110
129251,129251,0.67405634,0011111100011100011
129559,129559,0.68070451,0011111101000010111
130067,130067,0.70368821,0011111110000010011
131072,131072,0.83588053,0100000000000000000
131077,131077,0.80174093,0100000000000000101
131083,131083,0.82227865,0100000000000001011
131091,131091,0.81996819,0100000000000010011
131112,131112,0.80719524,0100000000000101000
131186,131186,0.75377724,0100000000001110010
131262,131262,0.72811581,0100000000010111110
131672,131672,0.75518938,0100000001001011000
131756,131756,0.76877428,0100000001010101100
131828,131828,0.72818599,0100000001011110100
131978,131978,0.74493048,0100000001110001010
132099,132099,0.82546246,0100000010000000011
132209,132209,0.74143662,0100000010001110001
133127,133127,0.80488656,0100000100000000111
133132,133132,0.78278800,0100000100000001100
133174,133174,0.73171429,0100000100000110110
133730,133730,0.72980070,0100000101001100010
133781,133781,0.74831630,0100000101010010101
133818,133818,0.71070925,0100000101010111010
133920,133920,0.76434485,0100000101100100000
134456,134456,0.74517777,0100000110100111000
134601,134601,0.71863550,0100000110111001001
134660,134660,0.76033885,0100000111000000100
134666,134666,0.72069219,0100000111000001010
135130,135130,0.65088431,0100000111111011010
135171,135171,0.83447923,0100001000000000011
135225,135225,0.75766419,0100001000000111001
135426,135426,0.81360207,0100001000100000010
135460,135460,0.79146836,0100001000100100100
136372,136372,0.74604085,0100001010010110100
136386,136386,0.77210722,0100001010011000010
136452,136452,0.79143585,0100001010100000100
137730,137730,0.78902704,0100001101000000010
137908,137908,0.72763690,0100001101010110100
138150,138150,0.73506412,0100001101110100110
139450,139450,0.73850732,0100010000010111010
139560,139560,0.75273195,0100010000100101000
139755,139755,0.70635294,0100010000111101011
140119,140119,0.69319642,0100010001101010111
141186,141186,0.72134380,0100010011110000010
141490,141490,0.72273656,0100010100010110010
141999,141999,0.68767637,0100010101010101111
143190,143190,0.64713807,0100010111101010110
143396,143396,0.80074081,0100011000000100100
143616,143616,0.81027190,0100011000100000000
143685,143685,0.76430128,0100011000101000101
143877,143877,0.78430991,0100011001000000101
143980,143980,0.73909497,0100011001001101100
145045,145045,0.72059420,0100011011010010101
145152,145152,0.76920066,0100011011100000000
145354,145354,0.69383739,0100011011111001010
145568,145568,0.77885350,0100011100010100000
145826,145826,0.74722916,0100011100110100010
145984,145984,0.76259801,0100011101001000000
146397,146397,0.65017718,0100011101111011101
146434,146434,0.80890844,0100011110000000010
147144,147144,0.71365003,0100011111011001000
147173,147173,0.65731161,0100011111011100101
147514,147514,0.74967679,0100100000000111010
147686,147686,0.71136446,0100100000011100110
147983,147983,0.75413585,0100100001000001111
148000,148000,0.77765603,0100100001000100000
149244,149244,0.68488430,0100100011011111100
149360,149360,0.70149200,0100100011101110000
149672,149672,0.77276613,0100100100010101000
149944,149944,0.73662273,0100100100110111000
150485,150485,0.67710285,0100100101111010101
150525,150525,0.65400538,0100100101111111101
151035,151035,0.63315750,0100100110111111011
151598,151598,0.76532855,0100101000000101110
151909,151909,0.73296453,0100101000101100101
152353,152353,0.72243029,0100101001100100001
152578,152578,0.81604297,0100101010000000010
152704,152704,0.79989734,0100101010010000000
152864,152864,0.75972584,0100101010100100000
153152,153152,0.77809280,0100101011001000000
153411,153411,0.70854255,0100101011101000011
153602,153602,0.81317417,0100101100000000010
153856,153856,0.76944811,0100101100100000000
154052,154052,0.72772515,0100101100111000100
154107,154107,0.64218870,0100101100111111011
154121,154121,0.74750320,0100101101000001001
154380,154380,0.73556207,0100101101100001100
154818,154818,0.73900514,0100101110011000010
154944,154944,0.76577385,0100101110101000000
155648,155648,0.79247853,0100110000000000000
155958,155958,0.70286539,0100110000100110110
156313,156313,0.70668853,0100110001010011001
156333,156333,0.71292148,0100110001010101101
156840,156840,0.72937130,0100110010010101000
158107,158107,0.67959353,0100110100110011011
160464,160464,0.70933384,0100111001011010000
161096,161096,0.72359807,0100111010101001000
162917,162917,0.67812051,0100111110001100101
163340,163340,0.69560614,0100111111000001100
163532,163532,0.67497625,0100111111011001100
163786,163786,0.65109653,0100111111111001010
164136,164136,0.76102335,0101000000100101000
164145,164145,0.73644318,0101000000100110001
164305,164305,0.71879198,0101000000111010001
164401,164401,0.73274338,0101000001000110001
164943,164943,0.74128498,0101000010001001111
165591,165591,0.68239283,0101000011011010111
165634,165634,0.72341311,0101000011100000010
165778,165778,0.68192989,0101000011110010010
166041,166041,0.74449156,0101000100010011001
167192,167192,0.71121196,0101000110100011000
168144,168144,0.75513692,0101001000011010000
168377,168377,0.72141829,0101001000110111001
168532,168532,0.73579385,0101001001001010100
168809,168809,0.70370845,0101001001101101001
169376,169376,0.74390684,0101001010110100000
169802,169802,0.68276074,0101001011101001010
170196,170196,0.72344477,0101001100011010100
170248,170248,0.74938165,0101001100100001000
170592,170592,0.74113429,0101001101001100000
171050,171050,0.72402670,0101001110000101010
171145,171145,0.74059110,0101001110010001001
171285,171285,0.70888592,0101001110100010101
172648,172648,0.72134004,0101010001001101000
172910,172910,0.66540761,0101010001101101110
173417,173417,0.69083667,0101010010101101001
174533,174533,0.67750223,0101010100111000101
174934,174934,0.64316814,0101010101101010110
175970,175970,0.65610234,0101010111101100010
176130,176130,0.82982297,0101011000000000010
177032,177032,0.72230483,0101011001110001000
177173,177173,0.73135311,0101011010000010101
177415,177415,0.74508743,0101011010100000111
178392,178392,0.69413116,0101011100011011000
178494,178494,0.66274617,0101011100100111110
179292,179292,0.66867876,0101011110001011100
180365,180365,0.74906750,0101100000010001101
182613,182613,0.68924393,0101100100101010101
184149,184149,0.65455579,0101100111101010101
184169,184169,0.66252167,0101100111101101001
184322,184322,0.83530587,0101101000000000010
184367,184367,0.73009354,0101101000000101111
184896,184896,0.76125370,0101101001001000000
185132,185132,0.72061971,0101101001100101100
185257,185257,0.68983265,0101101001110101001
185300,185300,0.67570963,0101101001111010100
187200,187200,0.72975440,0101101101101000000
187969,187969,0.69446737,0101101111001000001
188618,188618,0.70529066,0101110000011001010
189530,189530,0.66039953,0101110010001011010
190920,190920,0.68820291,0101110100111001000
192072,192072,0.67870360,0101110111001001000
192904,192904,0.71820246,0101111000110001000
193224,193224,0.71701216,0101111001011001000
193268,193268,0.66976188,0101111001011110100
193602,193602,0.76067844,0101111010001000010
193922,193922,0.73878565,0101111010110000010
193971,193971,0.63288207,0101111010110110011
194976,194976,0.71152984,0101111100110100000
196085,196085,0.60348788,0101111110111110101
196411,196411,0.61659325,0101111111100111011
