row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
233,233,011101001,0.96036584,0.52656495,5,0.80770935
234,234,011101010,0.96448170,0.37624489,5,0.82685722
235,235,011101011,0.95929877,0.34278483,6,0.80502029
236,236,011101100,0.96173780,0.44452316,5,0.81728548
237,237,011101101,0.95914634,0.51656772,6,0.78748957
238,238,011101110,0.96067072,0.45712685,6,0.79495804
239,239,011101111,0.96219511,0.51618072,7,0.77057704
240,240,011110000,0.94740853,0.44206875,4,0.82320165
241,241,011110001,0.94405487,0.50876595,5,0.79317828
242,242,011110010,0.94557926,0.55885840,5,0.78969342
243,243,011110011,0.95304877,0.53518755,6,0.77953002
244,244,011110100,0.95030487,0.51686086,5,0.79861879
245,245,011110101,0.94740853,0.48250145,6,0.77915839
246,246,011110110,0.95060975,0.51688300,6,0.77892145
247,247,011110111,0.95381097,0.57161086,7,0.75664988
248,248,011111000,0.95503048,0.53728966,5,0.80130151
249,249,011111001,0.95899389,0.61182844,6,0.77781105
250,250,011111010,0.96036585,0.58197777,6,0.78216807
251,251,011111011,0.96128048,0.64616602,7,0.75666388
252,252,011111100,0.96417683,0.64331049,6,0.77984578
253,253,011111101,0.96402439,0.58130490,7,0.76589390
254,254,011111110,0.96051829,0.70127814,7,0.75039048
255,255,011111111,0.96326219,0.87873550,8,0.71538864
256,256,100000000,0.86539634,0.00000000,1,0.84539634
257,257,100000001,0.88307927,0.11579354,2,0.83149992
258,258,100000010,0.92728659,0.14923148,2,0.87236344
259,259,100000011,0.93353659,0.20477321,3,0.85305927
260,260,100000100,0.94405487,0.36206326,2,0.86784855
261,261,100000101,0.94817073,0.27884182,3,0.86028655
262,262,100000110,0.95030487,0.24109966,3,0.86619491
263,263,100000111,0.94878049,0.22737074,4,0.84604341
264,264,100001000,0.94954268,0.15627294,2,0.89391539
265,265,100001001,0.95121950,0.18438921,3,0.87278058
266,266,100001010,0.96631098,0.20530949,3,0.88578003
267,267,100001011,0.96204268,0.27521290,4,0.85452139
268,268,100001100,0.96478658,0.21014345,3,0.88377223
269,269,100001101,0.96326219,0.25053432,4,0.85820876
270,270,100001110,0.96417682,0.29169418,4,0.85500740
271,271,100001111,0.96829268,0.29746070,5,0.83854661
272,272,100010000,0.93140244,0.10940137,2,0.88046230
273,273,100010001,0.93628049,0.20700834,3,0.85557966
274,274,100010010,0.94085366,0.16264620,3,0.86458904
275,275,100010011,0.94176829,0.18391077,4,0.84337721
276,276,100010100,0.95137194,0.21305709,3,0.87006623
277,277,100010101,0.95289633,0.25280025,4,0.84761631
278,278,100010110,0.94771341,0.26741804,4,0.84097160
279,279,100010111,0.95000000,0.26220529,5,0.82377947
280,280,100011000,0.95746950,0.21145985,3,0.87632352
281,281,100011001,0.96387195,0.23584400,4,0.86028755
282,282,100011010,0.96234755,0.24959640,4,0.85738791
283,283,100011011,0.96600610,0.25018374,5,0.84098772
284,284,100011100,0.96448170,0.27858361,4,0.85662334
285,285,100011101,0.96920732,0.28969608,5,0.84023771
286,286,100011110,0.96966463,0.29288607,5,0.84037603
287,287,100011111,0.96524390,0.34357416,6,0.81088648
288,288,100100000,0.92240854,0.11207368,2,0.87120117
289,289,100100001,0.93689024,0.17537399,3,0.85935285
290,290,100100010,0.94999999,0.19989025,3,0.87001096
291,291,100100011,0.94939024,0.37682313,4,0.83170793
292,292,100100100,0.95762195,0.30574495,3,0.86704745
293,293,100100101,0.95777438,0.28255578,4,0.84951880
294,294,100100110,0.95503048,0.29452396,4,0.84557809
295,295,100100111,0.95289633,0.33117944,5,0.81977839
296,296,100101000,0.96036584,0.22127471,3,0.87823837
297,297,100101001,0.95823170,0.27524928,4,0.85070677
298,298,100101010,0.96356708,0.24844346,4,0.85872273
299,299,100101011,0.96844513,0.27519687,5,0.84092544
300,300,100101100,0.96234755,0.28132182,4,0.85421537
301,301,100101101,0.96570121,0.33769472,5,0.83193174
302,302,100101110,0.96570122,0.31944753,5,0.83375647
303,303,100101111,0.96737805,0.37738834,6,0.80963922
304,304,100110000,0.93384147,0.20413799,3,0.85342767
305,305,100110001,0.93810976,0.25971915,4,0.83213784
306,306,100110010,0.94466463,0.21622429,4,0.84304220
307,307,100110011,0.94207317,0.24262217,5,0.81781095
308,308,100110100,0.95792682,0.30079771,4,0.84784705
309,309,100110101,0.95304877,0.32978821,5,0.82006995
310,310,100110110,0.95259145,0.32034535,5,0.82055691
311,311,100110111,0.95350609,0.34189929,6,0.79931616
312,312,100111000,0.96768293,0.25364730,4,0.86231820
313,313,100111001,0.96310975,0.28136083,5,0.83497367
314,314,100111010,0.96219512,0.31827052,5,0.83036807
315,315,100111011,0.96310975,0.32869347,6,0.81024041
316,316,100111100,0.96692073,0.32115088,5,0.83480564
317,317,100111101,0.96615853,0.36065800,6,0.81009273
318,318,100111110,0.96570122,0.35977699,6,0.80972352
319,319,100111111,0.96371951,0.78856627,7,0.74486288
320,320,101000000,0.95030487,0.14795809,2,0.89550906
321,321,101000001,0.95304877,0.21701539,3,0.87134724
322,322,101000010,0.95396340,0.14575732,3,0.87938767
323,323,101000011,0.95609756,0.24195768,4,0.85190179
324,324,101000100,0.96250000,0.20599582,3,0.88190041
325,325,101000101,0.95655487,0.25931399,4,0.85062347
326,326,101000110,0.95868902,0.24672565,4,0.85401645
327,327,101000111,0.96112804,0.29727869,5,0.83140018
328,328,101001000,0.96615854,0.19453472,3,0.88670506
329,329,101001001,0.96631097,0.27013460,4,0.85929751
330,330,101001010,0.96493902,0.23961364,4,0.86097766
331,331,101001011,0.96951221,0.30632452,5,0.83887975
332,332,101001100,0.96249999,0.28991744,4,0.85350825
333,333,101001101,0.96783536,0.30645152,5,0.83719021
334,334,101001110,0.96722561,0.31421298,5,0.83580431
335,335,101001111,0.96737806,0.40600365,6,0.80677769
336,336,101010000,0.94984756,0.20684660,3,0.86916290
337,337,101010001,0.95274389,0.25910245,4,0.84683365
338,338,101010010,0.95304877,0.31898202,4,0.84115057
339,339,101010011,0.95289633,0.29559381,5,0.82333695
340,340,101010100,0.96173781,0.28679023,4,0.85305878
341,341,101010101,0.96493903,0.28893419,5,0.83604561
342,342,101010110,0.95289633,0.31312853,5,0.82158348
343,343,101010111,0.95899390,0.32377424,6,0.80661647
344,344,101011000,0.96463414,0.34856254,4,0.84977789
345,345,101011001,0.96280488,0.36040470,5,0.82676441
346,346,101011010,0.96432926,0.38538951,5,0.82579031
347,347,101011011,0.96905488,0.35745823,6,0.81330906
348,348,101011100,0.96615854,0.33988148,5,0.83217039
349,349,101011101,0.96966464,0.62677167,6,0.78698747
350,350,101011110,0.96814024,0.50775004,6,0.79736524
351,351,101011111,0.96387195,0.40936537,7,0.78293541
352,352,101100000,0.95182926,0.20384692,3,0.87144456
353,353,101100001,0.95320121,0.21257703,4,0.85194351
354,354,101100010,0.96097561,0.24501747,4,0.85647386
355,355,101100011,0.95777439,0.23465052,5,0.83430933
356,356,101100100,0.95914633,0.27785983,4,0.85136035
357,357,101100101,0.95746950,0.30888174,5,0.82658132
358,358,101100110,0.96295732,0.30472549,5,0.83248477
359,359,101100111,0.96128048,0.33458303,6,0.80782218
360,360,101101000,0.96341463,0.28407963,4,0.85500667
361,361,101101001,0.96448171,0.30467794,5,0.83401391
362,362,101101010,0.96250000,0.28546953,5,0.83395304
363,363,101101011,0.96371951,0.31664389,6,0.81205512
364,364,101101100,0.96966463,0.29654198,5,0.84001044
365,365,101101101,0.96448170,0.39341186,6,0.80514052
366,366,101101110,0.96753049,0.36138013,6,0.81139247
367,367,101101111,0.96890244,0.39419545,7,0.78948290
368,368,101110000,0.95609755,0.28666408,4,0.84743114
369,369,101110001,0.95701219,0.27843185,5,0.82916900
370,370,101110010,0.95853658,0.30876249,5,0.82766033
371,371,101110011,0.95579267,0.30815239,6,0.80497743
372,372,101110100,0.96448170,0.29455017,5,0.83502668
373,373,101110101,0.95777438,0.31492013,6,0.80628237
374,374,101110110,0.96371951,0.33141043,6,0.81057846
375,375,101110111,0.95716463,0.40315474,7,0.77684915
376,376,101111000,0.96676829,0.32441921,5,0.83432637
377,377,101111001,0.96402439,0.65339446,6,0.77868494
378,378,101111010,0.96478658,0.43590131,6,0.80119645
379,379,101111011,0.96036585,0.42916382,7,0.77744946
380,380,101111100,0.96356707,0.41381452,6,0.80218562
381,381,101111101,0.96509146,0.43763861,7,0.78132760
382,382,101111110,0.96905488,0.40569688,7,0.78848519
383,383,101111111,0.96371951,0.45764664,8,0.75795485
384,384,110000000,0.94237805,0.12365728,2,0.89001232
385,385,110000001,0.94573171,0.24510914,3,0.86122079
386,386,110000010,0.95152438,0.18479048,3,0.87304533
387,387,110000011,0.95076219,0.30259564,4,0.84050263
388,388,110000100,0.95594511,0.23768872,3,0.87217624
389,389,110000101,0.95624999,0.33785622,4,0.84246437
390,390,110000110,0.95609755,0.26433209,4,0.84966434
391,391,110000111,0.95518292,0.33450831,5,0.82173209
392,392,110001000,0.96539634,0.20483273,3,0.88491306
393,393,110001001,0.96173780,0.24845851,4,0.85689195
394,394,110001010,0.96829268,0.23592227,4,0.86470046
395,395,110001011,0.96707317,0.30503017,5,0.83657015
396,396,110001100,0.96173780,0.31257555,4,0.85048024
397,397,110001101,0.96265244,0.35730352,5,0.82692209
398,398,110001110,0.96524390,0.32438881,5,0.83280502
399,399,110001111,0.96265244,0.36963126,6,0.80568931
